d;x;y;z;z_lisse;pente;x_prime_lisse;y_prime_lisse;x_seconde_lisse;y_seconde_lisse;courbure
0;496.15;123.41;9.51;9.51;1.1;-0.67;-0.75;0.001805556;0.004652778;-0.001733468
1;495.48;122.66;9.52;9.52;1.0;-0.665;-0.75;0.002916667;0.007708333;-0.002917837
2;494.82;121.91;9.53;9.53;1.1;-0.658333333;-0.744166667;-6.94753E-14;0.0125;-0.008389901
3;494.16;121.17;9.54;9.54;1.4;-0.665833333;-0.744166667;-0.00047619;-0.00047619;-3.74634E-05
4;493.49;120.42;9.56;9.56;1.4;-0.665;-0.750833333;-0.000367965;0.00017316;-0.00038795
5;492.83;119.67;9.57;9.57;1.1;-0.665;-0.750833333;-0.00038961;-0.00017316;-0.000175803
6;492.16;118.92;9.58;9.58;0.9;-0.665;-0.744166667;0.00038961;0.00021645;0.000146874
7;491.5;118.18;9.59;9.59;1.1;-0.665;-0.744166667;0.000367965;0.000541126;-8.65385E-05
8;490.83;117.43;9.6;9.60;1.4;-0.665833333;-0.751666667;0.00021645;-9.84302E-16;0.000160685
9;490.17;116.68;9.62;9.62;1.4;-0.658333333;-0.744166667;-3.93721E-15;-0.000541126;0.000363199
10;489.51;115.94;9.63;9.63;1.1;-0.665833333;-0.744166667;-0.00021645;-0.00021645;-1.70288E-05
11;488.84;115.19;9.64;9.64;1.1;-0.665;-0.750833333;-0.000367965;0.00017316;-0.00038795
12;488.18;114.44;9.65;9.65;1.4;-0.665;-0.750833333;-0.000995671;0.0004329;-0.001026249
13;487.51;113.69;9.67;9.67;1.5;-0.665;-0.744166667;-0.000974026;0.000367965;-0.000975368
14;486.85;112.95;9.68;9.68;1.0;-0.664166667;-0.745;-0.000974026;0.000974026;-0.001380546
15;486.18;112.2;9.69;9.69;0.6;-0.670833333;-0.745;-0.001190476;0.000995671;-0.001543148
16;485.51;111.46;9.69;9.69;0.5;-0.67;-0.745;-0.000151515;0.000367965;-0.00035731
17;484.84;110.71;9.7;9.70;0.3;-0.67;-0.745833333;0.000151515;0.00021645;-3.177E-05
18;484.17;109.97;9.7;9.70;0.2;-0.670833333;-0.738333333;0.000584416;0.000606061;2.51102E-05
19;483.5;109.23;9.7;9.70;0.5;-0.664166667;-0.745833333;0.00021645;-6.49351E-05;0.000205369
20;482.84;108.48;9.71;9.71;0.9;-0.664166667;-0.745833333;-0.00021645;6.49351E-05;-0.000205369
21;482.17;107.74;9.72;9.72;1.2;-0.670833333;-0.738333333;-0.000584416;-3.93721E-15;-0.000434649
22;481.5;107;9.73;9.73;1.5;-0.67;-0.745833333;-0.000757576;-6.49351E-05;-0.000517502
23;480.83;106.25;9.75;9.75;1.3;-0.67;-0.745833333;-0.000606061;6.49351E-05;-0.000491711
24;480.16;105.51;9.76;9.76;0.8;-0.67;-0.738333333;-3.93721E-15;3.93721E-15;-5.59488E-15
25;479.49;104.77;9.76;9.76;0.5;-0.67;-0.745833333;7.87441E-15;0.000541126;-0.000359762
26;478.82;104.02;9.77;9.77;0.4;-0.67;-0.745833333;0.000606061;0.00021645;0.000304634
27;478.15;103.28;9.77;9.77;0.1;-0.67;-0.739166667;0.000757576;-0.00017316;0.000680819
28;477.48;102.54;9.77;9.77;0.1;-0.670833333;-0.739166667;0.000584416;0.00017316;0.000317539
29;476.81;101.8;9.77;9.77;0.4;-0.664166667;-0.745833333;0.00021645;-0.00021645;0.000306396
30;476.15;101.05;9.78;9.78;0.4;-0.664166667;-0.745833333;-0.00021645;-0.000541126;0.000198741
31;475.48;100.31;9.78;9.78;0.3;-0.670833333;-0.738333333;-0.000584416;-1.9686E-15;-0.000434649
32;474.81;99.57;9.78;9.78;0.4;-0.67;-0.745833333;-0.000757576;-6.49351E-05;-0.000517502
33;474.14;98.82;9.79;9.79;0.4;-0.67;-0.745833333;-0.000606061;6.49351E-05;-0.000491711
34;473.47;98.08;9.79;9.79;0.1;-0.67;-0.738333333;-7.87441E-15;4.92151E-15;-9.19347E-15
35;472.8;97.34;9.79;9.79;0.1;-0.67;-0.745833333;3.93721E-15;0.000541126;-0.000359762
36;472.13;96.59;9.79;9.79;0.4;-0.67;-0.745833333;-3.93721E-15;0.00021645;-0.000143905
37;471.46;95.85;9.8;9.80;0.4;-0.67;-0.739166667;3.93721E-15;-0.00017316;0.000116846
38;470.79;95.11;9.8;9.80;0.3;-0.67;-0.739166667;-3.93721E-15;0.00017316;-0.000116846
39;470.12;94.37;9.8;9.80;0.3;-0.67;-0.745833333;-3.93721E-15;0.00038961;-0.000259029
40;469.45;93.62;9.81;9.81;0.5;-0.67;-0.745833333;0;-0.00038961;0.000259029
41;468.78;92.88;9.81;9.81;0.5;-0.67;-0.739166667;3.93721E-15;-0.00017316;0.000116846
42;468.11;92.14;9.82;9.82;0.5;-0.67;-0.739166667;0;0.00017316;-0.000116846
43;467.44;91.4;9.82;9.82;0.5;-0.67;-0.745833333;3.93721E-15;0.00038961;-0.000259029
44;466.77;90.65;9.83;9.83;0.5;-0.67;-0.745833333;-3.93721E-15;0.00021645;-0.000143905
45;466.1;89.91;9.83;9.83;0.7;-0.67;-0.739166667;-3.93721E-15;-2.1645E-05;1.46057E-05
46;465.43;89.17;9.84;9.84;0.7;-0.67;-0.74;0;-4.92151E-15;3.3148E-15
47;464.76;88.43;9.85;9.85;0.7;-0.67;-0.739166667;-3.93721E-15;-0.000584416;0.000394355
48;464.09;87.69;9.85;9.85;0.5;-0.67;-0.745833333;0.000606061;-0.000974026;0.001096111
49;463.42;86.94;9.86;9.86;0.5;-0.67;-0.745;0.001363636;-0.000974026;0.001658731
50;462.75;86.2;9.86;9.86;0.5;-0.670833333;-0.745;0.001948052;-0.000995671;0.0021033
51;462.08;85.45;9.87;9.87;0.5;-0.665;-0.745;0.001558442;-0.000974026;0.001816253
52;461.42;84.71;9.87;9.87;0.7;-0.659166667;-0.744166667;0.001190476;-0.000974026;0.001555207
53;460.76;83.96;9.88;9.88;0.7;-0.659166667;-0.750833333;0.000779221;-0.001190476;0.001373388
54;460.1;83.21;9.89;9.89;0.7;-0.665833333;-0.75;-0.00021645;-0.000757576;0.00033911
55;459.43;82.46;9.89;9.89;0.5;-0.665833333;-0.75;-0.000541126;1.9686E-15;-0.000402318
56;458.77;81.71;9.9;9.90;0.5;-0.658333333;-0.75;0;0.000757576;-0.000501818
57;458.11;80.96;9.9;9.90;0.5;-0.665833333;-0.750833333;-6.49351E-05;0.000584416;-0.000433266
58;457.44;80.21;9.91;9.91;0.5;-0.665833333;-0.744166667;6.49351E-05;0.00021645;-9.62129E-05
59;456.78;79.47;9.91;9.91;0.7;-0.658333333;-0.744166667;0;-0.00021645;0.00014528
60;456.12;78.72;9.92;9.92;0.7;-0.665833333;-0.750833333;0.000541126;-0.000584416;0.00078704
61;455.45;77.97;9.93;9.93;0.6;-0.665833333;-0.75;-0.00038961;0.000454545;-0.000589691
62;454.79;77.22;9.93;9.93;0.6;-0.659166667;-0.75;-0.002748918;0.002121212;-0.003475545
63;454.13;76.47;9.94;9.94;0.7;-0.658333333;-0.751666667;-0.003896104;0.003896104;-0.005506671
64;453.47;75.72;9.95;9.95;0.6;-0.669166667;-0.74;-0.004307359;0.003722944;-0.005718263
65;452.79;74.99;9.95;9.95;0.6;-0.6875;-0.728333333;-0.004112554;0.003138528;-0.005128982
66;452.1;74.26;9.96;9.96;0.7;-0.685833333;-0.729166667;-0.002510823;0.002142857;-0.003290321
67;451.42;73.53;9.97;9.97;0.6;-0.679166667;-0.735833333;-0.001233766;0.000995671;-0.001577636
68;450.74;72.79;9.97;9.97;0.6;-0.68;-0.735833333;-3.93721E-15;0.00021645;-0.00014634
69;450.06;72.06;9.98;9.98;0.7;-0.679166667;-0.729166667;2.1645E-05;0.000584416;-0.000385198
70;449.38;71.33;9.99;9.99;0.7;-0.685833333;-0.73;-0.00021645;0.000757576;-0.000674272
71;448.69;70.6;9.99;9.99;0.5;-0.685833333;-0.73;-0.00038961;0.000606061;-0.000696655
72;448.01;69.87;10;10.00;0.5;-0.679166667;-0.73;-0.00017316;0;-0.000127521
73;447.33;69.14;10;10.00;0.7;-0.679166667;-0.73;0.000779221;-0.001212121;0.001404332
74;446.65;68.41;10.01;10.01;0.7;-0.685833333;-0.73;0.002359307;-0.002727273;0.003575212
75;445.96;67.68;10.02;10.02;0.6;-0.686666667;-0.728333333;0.003528139;-0.003896104;0.005229442
76;445.28;66.95;10.02;10.02;0.6;-0.675;-0.74;0.00469697;-0.004329004;0.00636701
77;444.61;66.2;10.03;10.03;0.7;-0.664166667;-0.751666667;0.00487013;-0.003896104;0.006191451
78;443.95;65.45;10.04;10.04;0.7;-0.659166667;-0.75;0.003917749;-0.002727273;0.004757426
79;443.29;64.7;10.04;10.04;0.5;-0.66;-0.75;0.001363636;-0.001212121;0.001827934
80;442.63;63.95;10.05;10.05;0.5;-0.66;-0.75;-0.007424242;0.008484848;-0.011200087
81;441.97;63.2;10.05;10.05;0.5;-0.659166667;-0.75;-0.017554113;0.018484848;-0.025464659
82;441.31;62.45;10.06;10.06;0.5;-0.655833333;-0.761666667;-0.02495671;0.026515152;-0.035845492
83;440.64;61.7;10.06;10.06;0.5;-0.725;-0.679166667;-0.033766234;0.040627706;-0.05343515
84;439.86;61.09;10.07;10.07;0.5;-0.794166667;-0.604166667;-0.042229437;0.058268398;-0.072252009
85;439.07;60.47;10.07;10.07;0.5;-0.7825;-0.630833333;-0.04521645;0.069372294;-0.081549972
86;438.28;59.86;10.08;10.08;0.5;-0.835;-0.528333333;-0.040757576;0.070064935;-0.082962049
87;437.39;59.43;10.08;10.08;0.5;-0.928333333;-0.36;-0.03474026;0.068268398;-0.076871512
88;436.44;59.11;10.09;10.09;0.5;-0.955833333;-0.311666667;-0.029588745;0.066709957;-0.071823784
89;435.49;58.79;10.09;10.09;0.5;-0.940833333;-0.325;-0.021060606;0.054935065;-0.059347219
90;434.55;58.48;10.1;10.10;0.5;-0.965;-0.251666667;-0.011926407;0.042705628;-0.044575577
91;433.56;58.29;10.1;10.10;0.5;-0.988333333;-0.164166667;-0.008766234;0.044134199;-0.04480592
92;432.58;58.13;10.11;10.11;0.5;-0.984166667;-0.1675;-0.007792208;0.047337662;-0.048135724
93;431.59;57.96;10.11;10.11;0.5;-0.99;-0.15;-0.005562771;0.043831169;-0.044055345
94;430.6;57.85;10.12;10.12;0.5;-0.995;-0.05;-0.001103896;0.047467532;-0.047820575
95;429.6;57.85;10.12;10.12;0.5;-1.000833333;0.009166667;0.001536797;0.059155844;-0.059063994
96;428.6;57.85;10.13;10.13;0.5;-1.0025;-0.015833333;0.00508658;0.065800866;-0.065368694
97;427.6;57.85;10.13;10.13;0.5;-0.985;0.089166667;0.007251082;0.064004329;-0.065834195
98;426.63;58.04;10.14;10.14;0.5;-0.968333333;0.24;0.00961039;0.06047619;-0.061302079
99;425.66;58.3;10.14;10.14;0.5;-0.965;0.269166667;0.00974026;0.053787879;-0.054227794
100;424.7;58.57;10.15;10.15;0.5;-0.961666667;0.275833333;0.015519481;0.052359307;-0.054560398
101;423.74;58.86;10.15;10.15;0.5;-0.944166667;0.321666667;0.023484848;0.054307359;-0.059280623
102;422.81;59.21;10.16;10.16;0.3;-0.9425;0.336666667;0.03038961;0.061969697;-0.068468009
103;421.87;59.56;10.16;10.16;0.3;-0.8825;0.4575;0.034437229;0.065281385;-0.074693772
104;421.05;60.13;10.16;10.16;0.4;-0.8;0.603333333;0.033614719;0.059047619;-0.067114764
105;420.25;60.73;10.17;10.17;0.4;-0.801666667;0.599166667;0.028658009;0.046818182;-0.054566741
106;419.45;61.33;10.17;10.17;0.1;-0.78;0.619166667;0.029264069;0.038787879;-0.048977456
107;418.69;61.97;10.17;10.17;0.1;-0.758333333;0.645833333;0.030021645;0.032619048;-0.044648449
108;417.93;62.62;10.17;10.17;0.4;-0.760833333;0.656666667;0.034350649;0.034718615;-0.04824088
